index,element,charge
0,H,0.128791
1,C,-0.082254
2,C,-0.057588
3,C,0.339271
4,N,-0.433268
5,C,-0.043351
6,H,0.119122
7,C,-0.266967
8,H,0.156324
9,C,0.089702
10,C,0.026941
11,H,0.030302
12,C,0.073539
13,H,0.005304
14,H,-0.002501
15,C,-0.198642
16,H,0.028341
17,H,0.039344
18,C,0.254864
19,H,-0.038383
20,C,-0.03379
21,H,0.007929
22,H,0.024566
23,C,-0.091186
24,H,0.031748
25,H,0.015375
26,C,0.040495
27,H,-0.007077
28,H,-0.018553
29,C,0.116919
30,H,-0.036148
31,H,-0.032525
32,C,-0.047479
33,H,-0.009004
34,H,-0.005228
35,C,0.036636
36,H,-0.012612
37,H,-0.014882
38,C,0.206896
39,H,-0.040336
40,H,-0.040113
41,C,-0.284491
42,H,0.058825
43,H,0.058001
44,H,0.061839
45,C,-0.260615
46,H,0.053555
47,H,0.054233
48,C,0.064683
49,H,0.010688
50,H,-0.01461
51,C,-0.171462
52,H,0.108831
