index,element,charge
0,H,0.38584
1,O,-0.619579
2,C,0.259052
3,H,-0.033976
4,H,-0.033757
5,C,0.126229
6,H,-0.002601
7,H,-0.002247
8,C,-0.198631
9,H,0.028281
10,H,0.028431
11,C,0.177008
12,H,-0.018389
13,H,-0.019915
14,C,-0.012396
15,H,0.048931
16,H,0.049094
17,C,0.007422
18,C,-0.385884
19,C,0.409985
20,C,-0.243841
21,H,0.148865
22,C,-0.114636
23,H,0.120442
24,C,-0.017006
25,C,0.164728
26,C,-0.175249
27,H,0.12849
28,C,-0.11031
29,H,0.137717
30,C,-0.038123
31,C,0.35137
32,N,-0.435252
33,C,-0.11222
34,H,0.136497
35,C,-0.171183
36,H,0.128514
37,C,-0.122577
38,H,0.118849
39,C,-0.238374
40,H,0.150404
