index,element,charge
0,C,-0.217319
1,C,0.122873
2,C,-0.133161
3,C,0.167725
4,C,-0.162193
5,C,-0.079355
6,C,0.132547
7,O,-0.26964
8,C,0.379531
9,C,-0.425193
10,C,0.495787
11,O,-0.288616
12,C,-0.026569
13,C,-0.462184
14,C,0.102501
15,C,-0.430952
16,C,0.768451
17,O,-0.484847
18,O,-0.445228
19,C,0.525097
20,C,-0.35019
21,C,0.01066
22,C,-0.268801
23,C,0.728355
24,O,-0.478311
25,O,-0.418378
26,C,0.466548
27,C,-0.273339
28,C,-0.069575
29,C,-0.14221
30,N,0.817138
31,O,-0.43597
32,O,-0.437301
33,C,-0.047345
34,C,-0.30674
35,C,0.025014
36,C,-0.353903
37,H,0.05295
38,H,0.054372
39,H,0.041911
40,H,-0.010546
41,H,-0.015336
42,H,0.03514
43,H,0.009658
44,H,-0.019531
45,H,-0.000863
46,H,0.044643
47,H,0.038506
48,H,0.050689
49,H,0.042269
50,H,0.024602
51,H,0.053954
52,H,0.166379
53,H,0.092061
54,H,0.059171
55,H,0.060049
56,H,0.172776
57,H,0.112344
58,H,0.190474
59,H,0.111468
60,H,0.162051
61,H,0.140433
62,H,0.137503
63,H,0.184004
64,H,0.106535
65,H,0.167424
