index,element,charge
0,C,-0.234118
1,C,0.103031
2,C,-0.061828
3,O,-0.167013
4,C,0.437604
5,C,-0.485554
6,C,0.516887
7,O,-0.424631
8,C,0.762929
9,O,-0.496449
10,C,-0.309481
11,C,0.083456
12,C,-0.401052
13,C,0.487236
14,O,-0.29866
15,C,-0.033412
16,C,-0.282878
17,C,-0.030857
18,C,-0.374634
19,C,0.04327
20,C,-0.446797
21,C,0.785781
22,O,-0.5013
23,O,-0.462675
24,C,0.564697
25,C,-0.365649
26,C,-0.032972
27,C,-0.160369
28,N,0.816472
29,O,-0.438411
30,O,-0.437016
31,C,-0.029004
32,C,-0.358634
33,H,0.060955
34,H,0.062289
35,H,0.06331
36,H,0.010385
37,H,-0.00248
38,H,0.07758
39,H,0.076782
40,H,0.180806
41,H,0.100819
42,H,0.163914
43,H,0.096007
44,H,0.060482
45,H,0.066393
46,H,0.134194
47,H,0.119521
48,H,0.17212
49,H,0.122754
50,H,0.204651
51,H,0.130949
52,H,0.134255
53,H,0.196346
