index,element,charge
0,H,0.13635
1,C,-0.118483
2,C,-0.150746
3,H,0.122794
4,C,0.12272
5,C,0.044921
6,C,-0.149931
7,H,0.119242
8,C,-0.190798
9,H,0.135194
10,C,0.133483
11,C,-0.192494
12,H,0.058617
13,H,0.057071
14,C,0.175639
15,H,-0.023203
16,H,-0.024947
17,C,-0.024687
18,H,0.000615
19,H,0.003651
20,C,-0.052164
21,H,0.008813
22,H,0.010052
23,C,0.174352
24,H,-0.006771
25,H,-0.00844
26,C,-0.241818
27,H,0.103103
28,H,0.102253
29,C,0.351143
30,N,-0.457304
31,C,-0.196697
32,H,0.138497
33,C,-0.148073
34,H,0.120091
35,C,-0.159378
36,H,0.123206
37,C,-0.113842
38,H,0.137067
39,C,-0.033525
40,C,0.350281
41,N,-0.435852
