index,element,charge
0,H,0.136212
1,C,-0.113419
2,C,-0.180812
3,H,0.127182
4,C,0.189551
5,C,-0.124607
6,C,-0.069465
7,H,0.120974
8,C,-0.290522
9,H,0.115124
10,C,0.44992
11,O,-0.423593
12,C,0.385261
13,H,-0.029401
14,H,-0.019002
15,C,-0.148535
16,H,0.048744
17,H,0.046993
18,C,-0.013515
19,H,0.007113
20,H,0.020628
21,C,0.151052
22,H,0.004431
23,H,-0.007949
24,C,-0.286463
25,H,0.117368
26,H,0.115767
27,C,0.361446
28,N,-0.450017
29,C,-0.334781
30,H,0.161284
31,C,-0.020787
32,H,0.103321
33,C,-0.165832
34,H,0.124676
35,C,-0.121738
36,H,0.138201
37,C,-0.036611
38,C,0.349853
39,N,-0.438052
