index,element,charge
0,H,0.06532
1,C,0.326774
2,N,-0.653243
3,C,0.89
4,C,-0.286651
5,C,0.032187
6,H,0.082968
7,C,-0.186183
8,H,0.140861
9,C,0.050105
10,C,0.324841
11,N,-0.426437
12,C,-0.188034
13,H,0.142107
14,C,0.029881
15,H,0.083821
16,N,-0.650634
17,C,0.320497
18,H,0.068409
19,C,-0.230667
20,C,-0.207332
21,H,0.076094
22,H,0.073407
23,C,0.134402
24,H,-0.012359
25,H,-0.013764
26,C,0.080664
27,H,-0.021635
28,H,-0.018182
29,C,-0.082994
30,H,0.001678
31,H,0.003132
32,C,0.062766
33,H,-0.014279
34,H,-0.017045
35,C,0.189445
36,H,-0.032754
37,H,-0.034676
38,C,-0.287811
39,H,0.059483
40,H,0.06003
41,H,0.065807
