Name,Phase,Transition type,transition_temp,SMILES,Refs
Comp120,N,2,58.0,CCCCC[C@H]1CC[C@@H](c2ccc(-c3cc(F)c(F)c(F)c3)cc2)CC1,Springer Handbook of Materials Data
I32,N,2,97.0,CCC[C@H]1CC[C@@H](CCc2ccc(-c3ccc(CC)cc3F)cc2)CC1,Springer Handbook of Materials Data
I35,N,2,106.0,CCCCCc1ccc(-c2ccc(CC[C@H]3CC[C@@H](CCC)CC3)cc2)c(F)c1,Springer Handbook of Materials Data
HP5N,N,2,226.0,CCCCC[C@H]1CC[C@@H](c2ccc(C(=O)Oc3ccc(C#N)cc3)cc2)CC1,Springer Handbook of Materials Data
HP33,N,2,186.0,CCCc1ccc(OC(=O)c2ccc([C@H]3CC[C@@H](CCC)CC3)cc2)cc1,Springer Handbook of Materials Data
HH33,N,2,158.0,CCC[C@H]1CC[C@@H](c2ccc(C(=O)OC3CCCCC3)cc2)CC1,Springer Handbook of Materials Data
RM734,FN,4,133.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)c(OC)c1,Mandle 2017
DIO,FN,5,68.8,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(F)c(-c4cc(F)c(F)c(F)c4)c3)c(F)c2)OC1,Kikuchi 2022
EC1F,FN,5,144.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)c(F)c1,Cruickshank 2025
EC2F,FN,5,166.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)cc2)c(F)c1,Cruickshank 2025
EC3F,FN,5,156.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(OC)c2)c(F)c1,Cruickshank 2025
EC4F,N,2,153.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)c(OC)c2)c(F)c1,Cruickshank 2025
EC5F,FN,5,172.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)c(F)c1,Cruickshank 2025
EC6F,FN,5,187.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)cc2)c(F)c1,Cruickshank 2025
EC7F,N,2,159.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(OC)c2)c(F)c1,Cruickshank 2025
EC8F,N,2,149.0,COc1cc(F)c(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)c(OC)c2)c(F)c1,Cruickshank 2025
1O(M-O1)PEPEBNO2,FN,4,141.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc(-c4ccc([N+](=O)[O-])cc4)cc3)cc2)c(OC)c1,Cruickshank 2023
1O(M-O2)PEPEBNO2,FN,4,128.0,CCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
1O(M-O3)PEPEBNO2,FN,4,111.0,CCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
1O(M-O4)PEPEBNO2,FN,4,95.0,CCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
1O(M-O5)PEPEBNO2,FN,4,82.0,CCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
1O(M-O6)PEPEBNO2,FN,4,70.0,CCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
1O(M-O7)PEPEBNO2,FN,4,69.0,CCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
1O(M-O8)PEPEBNO2,FN,4,69.0,CCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
1O(M-O9)PEPEBNO2,FN,4,65.0,CCCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)cc1,Cruickshank 2023
RM734-2,FN,4,142.5,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(F)c2)c(OC)c1,Brown 2021
RM734-3,N,2,139.1,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)c(F)c2)c(OC)c1,Brown 2021
5-2,FN,4,106.0,CCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-3,FN,4,85.0,CCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-4,FN,4,65.0,CCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-5,FN,4,54.0,CCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-6,FN,4,44.0,CCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-7,FN,4,44.0,CCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-8,FN,4,44.0,CCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
5-9,FN,4,42.0,CCCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Cruickshank 2022
6-1,FN,4,138.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)cc2)c(OC)c1,Cruickshank 2022
6-2,N,2,109.0,CCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-3,N,2,88.0,CCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-4,N,2,69.0,CCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-5,N,2,56.0,CCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-6,N,2,48.0,CCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-7,N,2,47.0,CCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-8,N,2,48.0,CCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
6-9,N,2,46.0,CCCCCCCCCOc1cc(OC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Cruickshank 2022
UUQU-4-N,N,2,19.6,CCCCc1cc(F)c(-c2cc(F)c(C(F)(F)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Manabe 2021
3JK,FN,5,86.8,CCCC1COC(c2cc(F)c(C(=O)Oc3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)c(F)c2)OC1,Karcz 2023
NT3-1,FN,4,126.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(OC)c2)cc1,Tufaha 2023
NT3-2,FN,4,104.0,CCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-3,FN,4,93.0,CCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-4,FN,4,76.0,CCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-5,FN,4,61.0,CCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-6,FN,4,53.0,CCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3-7,FN,4,51.0,CCCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Tufaha 2023
NT3F-1,FN,4,141.0,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)c(OC)c2)cc1,Tufaha 2023
NT3F-2,N,2,118.0,CCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-3,N,2,92.0,CCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-4,N,2,79.0,CCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-5,N,2,68.0,CCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-6,N,2,58.0,CCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
NT3F-7,N,2,55.0,CCCCCCCOc1cc(OC(=O)c2ccc(OC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Tufaha 2023
Sulfur-2,FN,5,105.8,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-7,FN,4,106.0,COc1ccc(C(=O)Oc2ccc(C(=O)Sc3ccc([N+](=O)[O-])cc3)cc2)c(OC)c1,Arakawa 2024
Sulfur-12,N,2,122.0,CSc1ccccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-13,N,2,96.0,COc1ccccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-14,FN,5,162.2,Cc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)s1,Arakawa 2024
Sulfur-15,FN,5,161.1,COc1ccc(C(=O)Oc2ccc(C(=O)Oc3ccc([N+](=O)[O-])cc3)cc2)s1,Arakawa 2024
Sulfur-18,N,2,162.4,COc1ccsc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,Arakawa 2024
Sulfur-19,N,2,210.5,O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccc(OC(=O)c2cccs2)cc1,Arakawa 2024
DIO-1,FN,5,69.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(F)c(F)c4)c(F)c3)c(F)c2)OC1,Matsukizono 2024
DIO-2,FN,5,65.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c(C#N)c(F)c4)c(F)c3)c(F)c2)OC1,Matsukizono 2024
DIO-3,FN,5,96.0,CCCC1COC(c2cc(F)c(C(=O)Oc3ccc(-c4cc(F)c([N+](=O)[O-])c(F)c4)c(F)c3)c(F)c2)OC1,Matsukizono 2024
EST-1,FN,4,89.0,CCCC(=O)Oc1cc(F)c(C(=O)Oc2ccc(-c3cc(F)c(F)c(F)c3)c(F)c2)c(F)c1,Matsukizono 2024
EST-2,FN,5,98.0,CCCC(=O)Oc1cc(F)c(C(=O)Oc2ccc(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Matsukizono 2024
EST-3,FN,5,104.0,CCCC(=O)Oc1cc(F)c(C(=O)Oc2ccc(-c3cc(F)c([N+](=O)[O-])c(F)c3)c(F)c2)c(F)c1,Matsukizono 2024
EST-4,FN,4,116.0,CCCC(=O)Oc1ccc(C(=O)Oc2ccc(-c3cc(F)c(F)c(F)c3)c(F)c2)cc1,Matsukizono 2024
3CN,FN,5,156.2,CCCc1ccc(C(=O)Oc2ccc(C(=O)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)cc1,Mrukiewicz 2024
S2,FN,4,122.0,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)cc1,Stepanafas 2024
S3,FN,4,126.0,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)c(F)c1,Stepanafas 2024
S4,N,2,129.0,COc1cc(SC)ccc1C(=O)Oc1ccc(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)c(F)c1,Stepanafas 2024
S5,FN,4,121.0,COc1cc(SC)ccc1C(=O)Oc1cc(F)c(C(=O)Oc2ccc([N+](=O)[O-])cc2)c(F)c1,Stepanafas 2024
S6,N,2,122.0,COc1cc(SC)ccc1C(=O)Oc1cc(F)c(C(=O)Oc2ccc([N+](=O)[O-])c(F)c2)c(F)c1,Stepanafas 2024
S7,N,2,172.0,COc1cc(OC(=O)c2ccc(SC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,Stepanafas 2024
S8,FN,4,124.0,COc1cc(OC(=O)c2ccc(SC)cc2)ccc1C(=O)Oc1ccc([N+](=O)[O-])c(F)c1,Stepanafas 2024
O5,FN,4,132.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3ccc([N+](=O)[O-])cc3)c(F)c2)c(OC)c1,Stepanafas 2024
O6,N,2,131.0,COc1ccc(C(=O)Oc2cc(F)c(C(=O)Oc3ccc([N+](=O)[O-])c(F)c3)c(F)c2)c(OC)c1,Stepanafas 2024
2-2-Z2,N,2,133.5,CCCc1cc(F)c(C(=O)Oc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Stepanafas 2024
2-2-Z1,N,2,145.4,CCCc1ccc(C(=O)Oc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1,Stepanafas 2024
2-2-Z0,FN,4,133.2,CCCc1ccc(C(=O)Oc2cc(F)c(-c3cc(F)c(C#N)c(F)c3)c(F)c2)cc1,Stepanafas 2024
1-2-Z2,FN,4,104.3,CCCc1cc(F)c(C(=O)Oc2cc(F)c(-c3ccc(C#N)c(F)c3)c(F)c2)c(F)c1,Stepanafas 2024
