Name,dipole_Boltzmann_Debye,dipole_moment_Boltzmann_average,dipole_moment_Boltzmann_std,dipole_moment_Boltzmann_skewness,dipole_moment_mean,dipole_moment_std,dipole_moment_skewness
Comp49,6.742944949466846,2.652879142710108,0.039645211333795,1.6947192926808916,2.6611286052,0.0460423262411985,1.2197515978549898
RO-CM-7037,5.420135380336797,2.1324457205152667,0.0008552681658541,-0.2898645991935449,2.1324978769,0.0008350307502123,-0.3192878250797564
PYP605,5.437533095947264,2.13929050973121,0.0104701985885917,-0.2598380031725079,2.1392728635,0.0101486729884956,-0.2175314590144464
PYP606,5.423583447381728,2.1338022947146285,0.0111370448894494,-0.3466730530255898,2.1339314784,0.0104224710979461,-0.4505927628073012
PYP607,5.451348525202761,2.1447259187986374,0.0113842810365058,-0.1641649963659064,2.1428356241999995,0.0120576451386237,0.2021565476567144
PYP609,5.455926917918166,2.146527197413969,0.0164238532502533,0.5132024271103954,2.1459152018000003,0.0160144528548855,0.7450016952852586
MBBA,0.1887750698860732,0.0742698404506482,0.0069715174719138,-0.0422393472160879,0.0742546642999999,0.0069793075821901,-0.0476885501314811
RO-CM-1510,3.4302366507625197,1.349559181272448,0.0398581200902994,-0.8765877202868586,1.3495260570999998,0.0398653753415414,-0.8734667630273817
RO-CM-1540,3.419502405765518,1.345336003583961,0.0543481166587083,-0.3565918959922344,1.346780888,0.0540319019471646,-0.4110697592488996
Comp89,3.562946645492309,1.4017713199872486,0.0188545721801359,0.0280747798535155,1.4047516493,0.0176346507921773,-0.2704844254809361
Comp92,3.5713600053482955,1.4050813910391895,0.0096650990333759,-0.3662133471353875,1.405015051,0.010437853762787,-0.2899862827076045
Comp93,1.0103732836881898,0.39751150732142,0.01278785120803,-0.293669280332986,0.3973841622999999,0.0131554311726439,-0.3436335904059107
Comp97,6.826932038502754,2.6859222119372883,0.0313130115082091,1.5400600594269904,2.6950773483999995,0.0367226195761597,0.834900459400938
Comp113,7.52212648647408,2.959432801890543,0.059025340401129,-0.3338215065437785,2.9861516855,0.0488143181626432,-1.4310891688507976
Comp114,1.2593549773480304,0.4954684604000677,0.0276095285113899,-1.007004325607952,0.4996044015999999,0.0226289412531478,-1.2398691755745623
BCH5,1.26268382938124,0.4967781317965052,0.0186207811640398,0.3263836146433216,0.4941984838000001,0.0182774837091337,0.5836141754759872
BCH52F,1.2568842218434346,0.4944963902150076,0.0246853307658213,-0.6397070289381368,0.4950612352,0.0251943265385079,-0.5920216715350737
Comp119,1.173538801060425,0.4617057727485064,0.0221416505355925,1.1185178163075336,0.4713220077999999,0.0229512518718346,0.3264505347136768
Comp120,2.005460812279644,0.7890091347757189,0.1603517083248191,2.022774211747264,0.7658945199,0.1480459185185207,2.398905311970213
I32,7.030496660176002,2.766010710816896,0.0518543791060342,0.0996258868954671,2.7864121876000003,0.0468314948377734,-0.7652519752358296
I35,7.002738031547128,2.7550896240407687,0.0470013350698494,0.4506075704433897,2.7755383932,0.0474228840482272,-0.4337279928648779
HP5N,7.016142545512526,2.7603633665647656,0.0555613257934905,0.5154834943752848,2.7850370222,0.0554993040291995,-0.3840029396689436
HP33,8.239090954375149,3.241508378246744,0.0402419159716591,1.944535879306497,3.2581294778,0.0517591576554523,0.8645162791748013
HH33,8.251216617831279,3.2462789821765354,0.0584947367335722,1.0675929120483774,3.279823921,0.0675901042253389,-0.0245013216334883
RM734,11.218841863753552,4.413832799875972,0.1633679820022315,0.4452438637260909,4.1677032452,0.5475887903119808,-1.264259850200353
DIO,7.020848686875146,2.762214905374159,0.2750958966388638,-0.3733235119977271,2.6516396379,0.2754582695795097,0.0204455641362216
EC1F,10.349637373965209,4.071861379526203,0.0639688193920038,-0.6360117765812624,4.0619143473,0.0657644563497039,-0.5401607400355191
EC2F,11.1483812438453,4.3861114540340775,0.0957591556303527,-0.5215014515941317,4.3568224005,0.0933330112084947,-0.0976124115750871
EC3F,11.332914092738935,4.458712276025589,0.1826739262036305,-0.3113494698423126,4.334974265,0.619976219531618,-2.257446779009354
EC4F,12.06093855530758,4.745139189874826,0.1045233350842598,1.1374274856546638,4.436167080100001,0.7848430435185996,-1.48506500634339
EC5F,10.283626128360693,4.045890552541715,0.0529544060223731,0.0968130181874641,4.0339313265,0.0533986786579222,0.3654316424406377
EC6F,10.912188618250198,4.293186108387777,0.1211099554164533,-0.5664549917326385,4.2779498052,0.1180540885609705,-0.4177745644344794
EC7F,11.065053657876089,4.353327853324482,0.3871602779935182,-3.7210665531926113,4.0922844589,0.788901223256227,-1.440877405686948
EC8F,12.175856454508931,4.790351378347377,0.173566768114331,0.1922613813627146,4.883207601700001,0.1647369789703784,-0.6069731904926016
1O(M-O1)PEPEBNO2,11.27596010538836,4.436304849260453,0.1548338930760778,0.1928252458010968,4.2982945001,0.314401941568745,-1.033454517874047
1O(M-O2)PEPEBNO2,11.24468547211247,4.42400045957089,0.2265801922159576,-4.185719155005327,4.2604437436,0.5810336537077947,-2.3226902982679896
1O(M-O3)PEPEBNO2,11.165881138496747,4.392996443585138,0.098544132201941,-1.5289998868657289,4.323147898799999,0.2863944668396774,-1.972729575548693
1O(M-O4)PEPEBNO2,8.778359102282822,3.453672830519974,1.082174786353298,-0.2662424033567375,4.0698998432,0.8084085653435417,-1.49827792047074
1O(M-O5)PEPEBNO2,10.947994730151928,4.307273319266335,0.1380329988598203,0.7291085316660983,3.8787301369,0.7729349572599196,-0.8560651200062739
1O(M-O6)PEPEBNO2,10.55410349987749,4.152304557527578,0.1565542172643526,-1.7620964043922551,4.116723091900001,0.7223266442991212,-2.37244551315548
1O(M-O7)PEPEBNO2,11.124476535390905,4.376706616393181,0.083289734334705,1.0697777092297365,4.3304016882,0.5138824274371628,-2.3874477923632016
1O(M-O8)PEPEBNO2,10.03264554710125,3.947147176429608,0.6925130245571056,-2.830600344692416,3.7686345203,0.8943972472192951,-1.1246413260742143
1O(M-O9)PEPEBNO2,10.619912098916368,4.178195657204287,0.0056306076636898,9.844019704310956,3.9719510661,0.6085997928710073,-1.372600123237266
RM734-2,11.878545210131534,4.6733801135642725,0.1821480320290678,0.2587951046844635,4.6632055517,0.1613666420049042,0.5843527552114163
RM734-3,12.651751226207445,4.977582821496501,0.2128872624707083,0.4476326872551202,4.9434560223,0.1972072852556083,0.8271031618490554
