index,element,charge
0,C,-0.062111
1,O,-0.277932
2,C,0.527453
3,C,-0.390224
4,C,0.086086
5,C,-0.57064
6,C,0.780425
7,O,-0.500358
8,O,-0.350977
9,C,0.529444
10,C,-0.561159
11,C,0.521944
12,F,-0.16842
13,C,-0.607418
14,C,0.84225
15,O,-0.480642
16,O,-0.386265
17,C,0.455644
18,C,-0.336033
19,C,-0.032086
20,C,-0.261586
21,C,0.209852
22,C,-0.136931
23,C,-0.195793
24,C,0.007876
25,C,0.543919
26,F,-0.207066
27,F,-0.203022
28,O,-0.346823
29,C,0.467634
30,C,-0.496801
31,C,0.305239
32,F,-0.131053
33,C,-0.012866
34,F,-0.098563
35,C,0.322767
36,F,-0.137802
37,C,-0.507636
38,C,-0.127019
39,C,-0.183916
40,C,0.446898
41,F,-0.177513
42,C,-0.514414
43,C,0.518307
44,F,-0.176814
45,C,-0.565199
46,C,0.581406
47,O,-0.193771
48,C,-0.183189
49,C,-0.580106
50,H,0.098034
51,H,0.074462
52,H,0.071842
53,H,0.148921
54,H,0.104261
55,H,0.219202
56,H,0.179778
57,H,0.116543
58,H,0.124647
59,H,0.152729
60,H,0.236813
61,H,0.228745
62,H,0.132127
63,H,0.137119
64,H,0.231859
65,H,0.248077
66,H,0.126977
67,H,0.103385
68,H,0.101369
69,H,0.178115
