index,element,charge
0,C,-0.404026
1,C,0.264643
2,O,-0.265194
3,C,0.429659
4,C,-0.481264
5,C,0.512438
6,O,-0.408838
7,C,0.736791
8,O,-0.477624
9,C,-0.251437
10,C,-0.05754
11,C,-0.28083
12,C,0.515291
13,O,-0.28969
14,C,-0.06416
15,C,-0.431137
16,C,0.088906
17,N,0.799678
18,O,-0.44704
19,O,-0.401792
20,C,-0.368314
21,C,0.030495
22,C,-0.418299
23,C,0.782641
24,O,-0.508079
25,O,-0.422583
26,C,0.490252
27,C,-0.297426
28,C,-0.065393
29,C,-0.128995
30,N,0.806293
31,O,-0.436018
32,O,-0.434893
33,C,-0.059391
34,C,-0.316682
35,H,0.106544
36,H,0.119925
37,H,0.116392
38,H,0.030403
39,H,0.034573
40,H,0.193498
41,H,0.143024
42,H,0.142822
43,H,0.109314
44,H,0.072982
45,H,0.07139
46,H,0.192426
47,H,0.170786
48,H,0.123979
49,H,0.166537
50,H,0.13534
51,H,0.13662
52,H,0.193005
