index,element,charge
0,C,-0.183541
1,C,0.033857
2,C,-0.17656
3,C,0.279468
4,O,-0.356274
5,C,0.481547
6,C,-0.467812
7,C,0.474493
8,O,-0.353087
9,C,0.701691
10,O,-0.474911
11,C,-0.300571
12,C,0.080979
13,C,-0.383067
14,C,0.480012
15,O,-0.301591
16,C,-0.021148
17,C,-0.286334
18,C,-0.031054
19,C,-0.406493
20,C,0.078833
21,C,-0.449627
22,C,0.753723
23,O,-0.496658
24,O,-0.337919
25,C,0.447216
26,C,-0.3313
27,C,-0.070059
28,C,-0.224796
29,N,0.812013
30,O,-0.440595
31,O,-0.413962
32,C,0.363634
33,F,-0.141502
34,C,-0.418866
35,H,0.056129
36,H,0.056224
37,H,0.032302
38,H,0.026184
39,H,0.006828
40,H,0.077454
41,H,0.060412
42,H,0.016849
43,H,0.025553
44,H,0.147917
45,H,0.099282
46,H,0.163506
47,H,0.093434
48,H,0.058818
49,H,0.060902
50,H,0.131564
51,H,0.114623
52,H,0.195104
53,H,0.116839
54,H,0.198199
55,H,0.15761
56,H,0.184524
