index,element,charge
0,H,0.372126
1,O,-0.578945
2,C,0.227277
3,H,-0.018153
4,H,-0.02673
5,C,-0.094497
6,H,0.044238
7,H,-2.2e-05
8,C,0.189863
9,H,-0.040495
10,H,-0.027867
11,C,-0.025444
12,H,-0.009156
13,H,-0.009029
14,C,0.004238
15,H,-0.019444
16,H,-0.012854
17,C,0.097268
18,H,-0.026113
19,H,-0.029742
20,C,0.047639
21,H,-0.019127
22,H,-0.019924
23,C,-0.013479
24,H,-0.009542
25,H,-0.011014
26,C,0.019626
27,H,-0.009022
28,H,-0.009264
29,C,0.159498
30,H,-0.024603
31,H,-0.022184
32,C,-0.207853
33,H,0.056629
34,H,0.056628
35,C,0.159652
36,C,-0.204511
37,H,0.137418
38,C,-0.143225
39,H,0.11672
40,C,0.03553
41,C,0.137754
42,C,-0.158522
43,H,0.123293
44,C,-0.115309
45,H,0.134947
46,C,-0.034993
47,C,0.350412
48,N,-0.437598
49,C,-0.113194
50,H,0.136534
51,C,-0.16902
52,H,0.126764
53,C,-0.148789
54,H,0.11981
55,C,-0.205154
56,H,0.140957
