index,element,charge
0,H,0.140087
1,C,-0.06547
2,C,-0.193308
3,H,0.127409
4,C,0.10752
5,C,0.060116
6,C,-0.090954
7,H,0.108322
8,C,-0.252486
9,H,0.151452
10,C,0.024819
11,C,0.089274
12,H,0.01465
13,C,0.060978
14,H,0.007254
15,H,-0.002637
16,C,-0.208063
17,H,0.031978
18,H,0.040226
19,C,0.26304
20,H,-0.038799
21,C,0.008806
22,H,-0.000448
23,H,0.016943
24,C,-0.155404
25,H,0.037741
26,H,0.025406
27,C,0.055604
28,H,-0.007276
29,H,-0.018092
30,C,0.203391
31,H,-0.040528
32,H,-0.040118
33,C,-0.268165
34,H,0.054162
35,H,0.056193
36,H,0.056651
37,C,-0.288689
38,H,0.059531
39,H,0.058273
40,C,0.069652
41,H,0.009836
42,H,-0.020492
43,C,-0.16713
44,H,0.109901
45,C,-0.120031
46,H,0.115079
47,C,-0.311216
48,H,0.162455
49,C,0.382558
50,F,-0.163308
51,C,-0.226545
52,C,0.407096
53,N,-0.437245
