molecule_id,family,y_true,y_score,cv_fold
EC8F,dipole_prop,0,0.07584286638613433,3
1O(M-O1)PEPEBNO2,dipole_prop,1,0.8771436783234594,3
1O(M-O3)PEPEBNO2,dipole_prop,1,0.8614789106714008,3
1O(M-O4)PEPEBNO2,dipole_prop,1,0.4575627983866019,3
1O(M-O9)PEPEBNO2,dipole_prop,1,0.5898550378117955,3
5-3,dipole_prop,1,0.9107692011360814,3
5-6,dipole_prop,1,0.6053018082888324,3
5-7,dipole_prop,1,0.9380496332166176,3
6-8,dipole_prop,0,0.8648996343053317,3
3JK,dipole_prop,1,0.429575276386234,3
NT3-7,dipole_prop,1,0.5886484096211853,3
NT3F-5,dipole_prop,0,0.48124127878926876,3
EST-4,dipole_prop,1,0.0,3
S4,dipole_prop,0,0.8477646038848993,3
S7,dipole_prop,0,0.7821340721282778,3
2-2-Z0,dipole_prop,1,0.874537387510479,3
SCUT22b,dipole_prop,1,0.874537387510479,3
M-1-2,dipole_prop,1,0.3930076843350809,3
Li-1a,dipole_prop,0,0.9788668763670012,3
Li-3a,dipole_prop,0,0.4713144683116107,3
Li-4b,dipole_prop,1,0.39357011364506733,3
Li-4c,dipole_prop,1,0.43743467845655754,3
Li-12a,dipole_prop,1,0.4755315295986001,3
Li-13b,dipole_prop,0,0.043467325452448434,3
Li-14,dipole_prop,0,0.5223694339710798,3
Li-16,dipole_prop,1,0.5843735353128731,3
Li-20,dipole_prop,0,0.286479011143918,3
RT08062,dipole_prop,0,0.041428571428571426,4
06100KW,dipole_prop,0,0.0,4
07088KW,dipole_prop,0,0.0,4
08117KW,dipole_prop,0,0.0,4
09078KW,dipole_prop,0,0.0,4
07039KW,dipole_prop,0,0.2347358629547373,4
Acid2,dipole_prop,0,0.1442857142857143,4
Acid3,dipole_prop,0,0.0026314391927774825,4
PCH-3,dipole_prop,0,0.0,4
PCH-8,dipole_prop,0,0.0,4
CCH-7,dipole_prop,0,0.03142857142857143,4
CCH-301,dipole_prop,0,0.0026314391927774825,4
PYP606,dipole_prop,0,0.0,4
PYP607,dipole_prop,0,0.0,4
RO-CM-1510,dipole_prop,0,0.0,4
Comp92,dipole_prop,0,0.0,4
Comp119,dipole_prop,0,0.0,4
HP5N,dipole_prop,0,0.001202867764206054,4
DIO,dipole_prop,1,0.004060010621348911,4
1O(M-O2)PEPEBNO2,dipole_prop,1,0.5935782330774241,4
1O(M-O8)PEPEBNO2,dipole_prop,1,0.45045335174513307,4
5-4,dipole_prop,1,0.6170788130788477,4
NT3-5,dipole_prop,1,0.6710483884313948,4
NT3F-2,dipole_prop,0,0.5803646747063796,4
NT3F-3,dipole_prop,0,0.7594924642727034,4
NT3F-7,dipole_prop,0,0.9998237611445159,4
Sulfur-2,dipole_prop,1,0.7125080430761707,4
Sulfur-13,dipole_prop,0,0.43742523365540253,4
Sulfur-19,dipole_prop,0,0.2403599633878509,4
DIO-1,dipole_prop,1,0.007746639874665951,4
EST-3,dipole_prop,1,0.5724996396022701,4
S2,dipole_prop,1,0.8486566771123616,4
2-2-Z2,dipole_prop,0,0.6602325688247678,4
1-2-Z1,dipole_prop,1,0.875570578565666,4
SCUT22d,dipole_prop,1,0.4485102524715253,4
