family,metric,mean,std,ci_low,ci_high,observed,p_value,n_folds,n_perm,prevalence_positive,chance_auprc
dipole_prop,AUPRC,0.6980017430128893,0.09733356523024482,0.6199653535619052,0.766582042716874,0.6605632615001941,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
dipole_prop,AUROC,0.8297659709044908,0.04498643212798364,0.7905539215686274,0.8569819734345354,0.8316712115309699,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
sigma_profile,AUPRC,0.6119777403698919,0.07956027634339616,0.5553057706239152,0.6641786999354407,0.5849602056640069,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
sigma_profile,AUROC,0.7368627450980393,0.09312590230088562,0.6552549019607844,0.7968627450980392,0.7428126217374367,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
graphmol_conf0,AUPRC,0.8451118817492654,0.07130772934809802,0.7913776714320725,0.8948101405559639,0.8292525040153866,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
graphmol_conf0,AUROC,0.9053889943074005,0.03988177656087364,0.8759380139152435,0.9348915243516763,0.9030775223996884,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
graphmol_boltzmann,AUPRC,0.8229863260011514,0.025003279179983677,0.8008854569004709,0.8369671166770056,0.8074316060001874,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
graphmol_boltzmann,AUROC,0.9006957621758381,0.007357819415162996,0.8944212523719166,0.9058823529411765,0.9019867549668874,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
graphmol_dipole,AUPRC,0.8703927286008248,0.036453250172067256,0.8447413752380744,0.9052063630438941,0.8545732691823833,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
graphmol_dipole,AUROC,0.9221378874130297,0.020731750380544454,0.90821568627451,0.9415882352941177,0.9185820023373588,0.047619047619047616,5,20,0.3601694915254237,0.3601694915254237
