molecule_id,family,cv_fold,true_lbl,class_lbl,score
SCUT22b,dipole_prop,1,5,2,0.22862725940400588
SCUT22b,dipole_prop,1,5,4,0.7606253053248657
SCUT22b,dipole_prop,1,5,5,0.010747435271128482
M-0-0,dipole_prop,1,4,2,0.05444478621962473
M-0-0,dipole_prop,1,4,4,0.3229775453706552
M-0-0,dipole_prop,1,4,5,0.6225776684097201
M-1-0,dipole_prop,1,5,2,0.7123328380386329
M-1-0,dipole_prop,1,5,4,0.2843982169390787
M-1-0,dipole_prop,1,5,5,0.0032689450222882616
M-2-0,dipole_prop,1,5,2,0.22848694942903752
M-2-0,dipole_prop,1,5,4,0.7423531810766721
M-2-0,dipole_prop,1,5,5,0.029159869494290374
M-2-1,dipole_prop,1,4,2,0.11150758251561106
M-2-1,dipole_prop,1,4,4,0.8884924174843889
M-2-1,dipole_prop,1,4,5,0.0
Li-2a,dipole_prop,1,4,2,0.8700331958555477
Li-2a,dipole_prop,1,4,4,0.12222110451664821
Li-2a,dipole_prop,1,4,5,0.007745699627804043
Li-4a,dipole_prop,1,2,2,0.7714543812104788
Li-4a,dipole_prop,1,2,4,0.22854561878952123
Li-4a,dipole_prop,1,2,5,0.0
Li-5c,dipole_prop,1,4,2,0.6683750376846548
Li-5c,dipole_prop,1,4,4,0.3283087126921917
Li-5c,dipole_prop,1,4,5,0.0033162496231534514
Li-11a,dipole_prop,1,2,2,0.038305634373733286
Li-11a,dipole_prop,1,2,4,0.7287190920145926
Li-11a,dipole_prop,1,2,5,0.2329752736116741
Li-19,dipole_prop,1,2,2,1.0
Li-19,dipole_prop,1,2,4,0.0
Li-19,dipole_prop,1,2,5,0.0
Li-22,dipole_prop,1,2,2,0.8574372056514914
Li-22,dipole_prop,1,2,4,0.14040423861852433
Li-22,dipole_prop,1,2,5,0.0021585557299843017
06119KW,dipole_prop,2,2,2,0.3763888888888889
06119KW,dipole_prop,2,2,4,0.6236111111111112
06119KW,dipole_prop,2,2,5,0.0
MJ01056,dipole_prop,2,2,2,1.0
MJ01056,dipole_prop,2,2,4,0.0
MJ01056,dipole_prop,2,2,5,0.0
MJ01071,dipole_prop,2,2,2,1.0
MJ01071,dipole_prop,2,2,4,0.0
MJ01071,dipole_prop,2,2,5,0.0
MJ01073,dipole_prop,2,2,2,1.0
MJ01073,dipole_prop,2,2,4,0.0
MJ01073,dipole_prop,2,2,5,0.0
RT08049,dipole_prop,2,2,2,0.7760115606936416
RT08049,dipole_prop,2,2,4,0.22398843930635837
RT08049,dipole_prop,2,2,5,0.0
07080KW,dipole_prop,2,2,2,0.7911301859799713
07080KW,dipole_prop,2,2,4,0.0
07080KW,dipole_prop,2,2,5,0.2088698140200286
08119KW,dipole_prop,2,2,2,0.3763888888888889
08119KW,dipole_prop,2,2,4,0.6236111111111112
08119KW,dipole_prop,2,2,5,0.0
08123KW,dipole_prop,2,2,2,0.9985734664764623
08123KW,dipole_prop,2,2,4,0.0014265335235378032
08123KW,dipole_prop,2,2,5,0.0
Acid5-HOBA,dipole_prop,2,2,2,1.0
Acid5-HOBA,dipole_prop,2,2,4,0.0
Acid5-HOBA,dipole_prop,2,2,5,0.0
7CB,dipole_prop,2,2,2,1.0
7CB,dipole_prop,2,2,4,0.0
7CB,dipole_prop,2,2,5,0.0
5OCB,dipole_prop,2,2,2,1.0
5OCB,dipole_prop,2,2,4,0.0
5OCB,dipole_prop,2,2,5,0.0
Comp35,dipole_prop,2,2,2,0.9711815561959654
Comp35,dipole_prop,2,2,4,0.02881844380403458
Comp35,dipole_prop,2,2,5,0.0
RO-CM-4513,dipole_prop,2,2,2,0.9318840579710145
RO-CM-4513,dipole_prop,2,2,4,0.0
RO-CM-4513,dipole_prop,2,2,5,0.06811594202898551
PYP605,dipole_prop,2,2,2,1.0
PYP605,dipole_prop,2,2,4,0.0
PYP605,dipole_prop,2,2,5,0.0
RO-CM-1540,dipole_prop,2,2,2,1.0
RO-CM-1540,dipole_prop,2,2,4,0.0
RO-CM-1540,dipole_prop,2,2,5,0.0
Comp97,dipole_prop,2,2,2,0.9899713467048711
Comp97,dipole_prop,2,2,4,0.0
Comp97,dipole_prop,2,2,5,0.01002865329512894
Comp113,dipole_prop,2,2,2,0.3858921161825726
Comp113,dipole_prop,2,2,4,0.0
Comp113,dipole_prop,2,2,5,0.6141078838174273
BCH52F,dipole_prop,2,2,2,1.0
BCH52F,dipole_prop,2,2,4,0.0
BCH52F,dipole_prop,2,2,5,0.0
I32,dipole_prop,2,2,2,1.0
I32,dipole_prop,2,2,4,0.0
I32,dipole_prop,2,2,5,0.0
EC3F,dipole_prop,2,5,2,0.03125000000000001
EC3F,dipole_prop,2,5,4,0.9644886363636365
EC3F,dipole_prop,2,5,5,0.004261363636363637
1O(M-O4)PEPEBNO2,dipole_prop,2,4,2,0.2706552706552706
1O(M-O4)PEPEBNO2,dipole_prop,2,4,4,0.09116809116809116
1O(M-O4)PEPEBNO2,dipole_prop,2,4,5,0.6381766381766382
1O(M-O5)PEPEBNO2,dipole_prop,2,4,2,0.25034770514603616
1O(M-O5)PEPEBNO2,dipole_prop,2,4,4,0.1321279554937413
1O(M-O5)PEPEBNO2,dipole_prop,2,4,5,0.6175243393602224
1O(M-O7)PEPEBNO2,dipole_prop,2,4,2,0.03125000000000001
1O(M-O7)PEPEBNO2,dipole_prop,2,4,4,0.9644886363636365
1O(M-O7)PEPEBNO2,dipole_prop,2,4,5,0.004261363636363637
1O(M-O9)PEPEBNO2,dipole_prop,2,4,2,0.6638655462184874
1O(M-O9)PEPEBNO2,dipole_prop,2,4,4,0.012605042016806723
1O(M-O9)PEPEBNO2,dipole_prop,2,4,5,0.3235294117647059
5-6,dipole_prop,2,4,2,0.6431535269709543
5-6,dipole_prop,2,4,4,0.12033195020746888
5-6,dipole_prop,2,4,5,0.23651452282157673
5-9,dipole_prop,2,4,2,0.8690140845070423
5-9,dipole_prop,2,4,4,0.1
5-9,dipole_prop,2,4,5,0.03098591549295775
6-7,dipole_prop,2,2,2,0.345642540620384
6-7,dipole_prop,2,2,4,0.654357459379616
6-7,dipole_prop,2,2,5,0.0
NT3-5,dipole_prop,2,4,2,0.862994350282486
NT3-5,dipole_prop,2,4,4,0.1271186440677966
NT3-5,dipole_prop,2,4,5,0.009887005649717515
NT3F-6,dipole_prop,2,2,2,0.875177304964539
NT3F-6,dipole_prop,2,2,4,0.124822695035461
NT3F-6,dipole_prop,2,2,5,0.0
Sulfur-12,dipole_prop,2,2,2,1.0
Sulfur-12,dipole_prop,2,2,4,0.0
Sulfur-12,dipole_prop,2,2,5,0.0
Sulfur-18,dipole_prop,2,2,2,0.08563134978229318
Sulfur-18,dipole_prop,2,2,4,0.7126269956458636
Sulfur-18,dipole_prop,2,2,5,0.20174165457184326
EST-2,dipole_prop,2,5,2,0.004291845493562232
EST-2,dipole_prop,2,5,4,0.8826895565092989
EST-2,dipole_prop,2,5,5,0.11301859799713876
3CN,dipole_prop,2,5,2,0.006983240223463687
