index,element,charge
0,H,0.135429
1,C,-0.109893
2,C,-0.178446
3,H,0.126792
4,C,0.191026
5,C,-0.133191
6,C,-0.059586
7,H,0.118146
8,C,-0.313537
9,H,0.120705
10,C,0.490696
11,O,-0.433551
12,C,0.325382
13,H,-0.015944
14,H,-0.013489
15,C,-0.060682
16,H,0.030252
17,H,0.032359
18,C,0.0116
19,H,-0.010565
20,H,-0.011739
21,C,0.050953
22,H,-0.013924
23,H,-0.01582
24,C,-0.020659
25,H,0.023417
26,H,0.024442
27,C,0.174174
28,H,0.017913
29,H,0.019198
30,F,-0.244897
31,C,-0.357939
32,H,0.165739
33,C,-0.01199
34,H,0.103731
35,C,-0.170923
36,H,0.12479
37,C,-0.112573
38,H,0.135107
39,C,-0.047892
40,C,0.356338
41,N,-0.440949
