index,element,charge
0,H,0.13732
1,C,-0.11741
2,C,-0.179015
3,H,0.127155
4,C,0.196222
5,C,-0.129434
6,C,-0.059401
7,H,0.117522
8,C,-0.318169
9,H,0.120714
10,C,0.495302
11,O,-0.454205
12,C,0.364675
13,H,-0.024273
14,H,-0.020833
15,C,-0.010253
16,H,0.017958
17,H,0.021069
18,C,-0.128345
19,H,0.011685
20,H,0.008037
21,C,0.117937
22,H,-0.021409
23,H,-0.024562
24,C,0.178255
25,H,-0.033037
26,H,-0.030727
27,C,-0.297306
28,H,0.061319
29,H,0.0632
30,H,0.069317
31,C,-0.350706
32,H,0.165849
33,C,-0.025031
34,H,0.107336
35,C,-0.177995
36,H,0.127463
37,C,-0.115679
38,H,0.136251
39,C,-0.038755
40,C,0.351575
41,N,-0.439614
