index,element,charge
0,C,-0.269073
1,C,0.092252
2,C,-0.046985
3,O,-0.192415
4,C,0.476046
5,C,-0.491973
6,C,0.498664
7,O,-0.390524
8,C,0.758917
9,O,-0.509945
10,C,-0.31642
11,C,-0.024382
12,C,-0.289807
13,C,0.489325
14,O,-0.300942
15,C,-0.031857
16,C,-0.38941
17,C,0.079357
18,C,-0.382852
19,C,0.074037
20,C,-0.49669
21,C,0.825061
22,O,-0.507054
23,O,-0.46786
24,C,0.617702
25,C,-0.44207
26,C,-0.020358
27,C,-0.267244
28,N,0.824292
29,O,-0.443488
30,O,-0.416848
31,C,0.41136
32,F,-0.138722
33,C,-0.53523
34,H,0.070219
35,H,0.074555
36,H,0.077627
37,H,0.017529
38,H,-0.000768
39,H,0.094595
40,H,0.05774
41,H,0.188544
42,H,0.118384
43,H,0.131583
44,H,0.096485
45,H,0.062949
46,H,0.0646
47,H,0.163466
48,H,0.101934
49,H,0.170854
50,H,0.115135
51,H,0.229369
52,H,0.147192
53,H,0.243141
