index,element,charge
0,C,-0.207068
1,C,0.134486
2,C,-0.105745
3,C,0.057642
4,C,-0.085393
5,C,-0.006106
6,O,-0.227462
7,C,0.430612
8,C,-0.457764
9,C,0.491205
10,O,-0.284301
11,C,-0.036482
12,C,-0.446648
13,C,0.120555
14,C,-0.490554
15,C,0.796499
16,O,-0.516964
17,O,-0.431858
18,C,0.541628
19,C,-0.377092
20,C,0.024763
21,C,-0.262387
22,C,0.707052
23,O,-0.472811
24,O,-0.388199
25,C,0.508506
26,C,-0.353928
27,C,-0.045816
28,C,-0.247735
29,N,0.821432
30,O,-0.438008
31,O,-0.416761
32,C,0.381357
33,F,-0.133128
34,C,-0.463763
35,C,0.024328
36,C,-0.370496
37,H,0.047503
38,H,0.057778
39,H,0.038195
40,H,-0.013624
41,H,-0.020486
42,H,0.032576
43,H,0.013165
44,H,0.002339
45,H,0.015617
46,H,0.052775
47,H,0.04023
48,H,0.038205
49,H,0.076502
50,H,0.183446
51,H,0.094897
52,H,0.066071
53,H,0.059602
54,H,0.172258
55,H,0.109056
56,H,0.193974
57,H,0.104865
58,H,0.195864
59,H,0.152417
60,H,0.212084
61,H,0.105314
62,H,0.195783
