index,element,charge
0,C,-0.24256
1,C,0.198905
2,C,-0.084394
3,C,0.059973
4,C,-0.03231
5,C,0.010772
6,O,-0.283752
7,C,0.498864
8,C,-0.441633
9,C,0.485994
10,O,-0.285263
11,C,-0.024132
12,C,-0.450696
13,C,0.12579
14,C,-0.542737
15,C,0.813797
16,O,-0.514331
17,O,-0.378299
18,C,0.391654
19,C,-0.278334
20,C,-0.028434
21,C,-0.212838
22,C,0.702627
23,O,-0.482903
24,O,-0.407109
25,C,0.445856
26,C,-0.286299
27,C,-0.078541
28,C,-0.044243
29,C,0.110184
30,C,-0.121113
31,C,-0.140564
32,C,-0.050521
33,N,0.78219
34,O,-0.428349
35,O,-0.429255
36,C,-0.129479
37,C,-0.130287
38,C,-0.053877
39,C,-0.327589
40,C,-0.026111
41,C,-0.280125
42,H,0.054998
43,H,0.052137
44,H,0.050158
45,H,-0.03643
46,H,-0.035715
47,H,0.013146
48,H,0.02187
49,H,0.012983
50,H,-0.007221
51,H,0.019114
52,H,0.01446
53,H,0.083859
54,H,0.035347
55,H,0.160349
56,H,0.090762
57,H,0.058428
58,H,0.059332
59,H,0.173359
60,H,0.108557
61,H,0.173875
62,H,0.116991
63,H,0.158224
64,H,0.114847
65,H,0.121007
66,H,0.141069
67,H,0.140996
68,H,0.117284
69,H,0.116722
70,H,0.189758
71,H,0.112376
72,H,0.156831
