index,element,charge
0,H,0.15247
1,C,-0.431073
2,H,0.185669
3,C,0.116638
4,H,0.078715
5,C,-0.305202
6,C,0.299181
7,F,-0.123588
8,C,-0.025189
9,F,-0.10109
10,C,0.117891
11,O,-0.235303
12,C,0.232257
13,H,0.037159
14,H,0.035909
15,C,-0.23902
16,H,0.067699
17,H,0.067331
18,C,0.141825
19,H,-0.028488
20,H,-0.03051
21,C,0.086954
22,H,-0.016945
23,H,-0.017791
24,C,-0.219272
25,H,0.062609
26,H,0.061626
27,C,0.311156
28,H,0.01182
29,H,0.012346
30,O,-0.35891
31,C,0.266741
32,C,-0.292706
33,H,0.168437
34,C,-0.086452
35,H,0.118643
36,C,-0.083208
37,C,0.229213
38,C,-0.202361
39,H,0.13505
40,C,-0.102881
41,H,0.137185
42,C,-0.044108
43,C,0.349786
44,N,-0.434583
45,C,-0.104465
46,H,0.136312
47,C,-0.197861
48,H,0.133451
49,C,-0.260984
50,H,0.172339
51,C,0.22634
52,F,-0.202833
53,C,0.09457
54,F,-0.1586
55,C,0.1545
56,F,-0.098398
