index,element,charge
0,C,-0.193795
1,O,-0.171293
2,C,0.480039
3,C,-0.501203
4,C,0.527803
5,O,-0.400326
6,C,0.679281
7,O,-0.483799
8,C,-0.082538
9,C,-0.093589
10,C,-0.192058
11,C,0.096351
12,S,-0.140703
13,C,-0.23858
14,C,-0.002844
15,C,-0.220488
16,C,-0.406307
17,C,0.078113
18,C,-0.491447
19,C,0.813852
20,O,-0.509545
21,O,-0.45553
22,C,0.590465
23,C,-0.4017
24,C,-0.033071
25,C,-0.260038
26,N,0.814493
27,O,-0.438997
28,O,-0.414712
29,C,0.419423
30,F,-0.146318
31,C,-0.531667
32,H,0.117855
33,H,0.115349
34,H,0.103946
35,H,0.201171
36,H,0.122148
37,H,0.155593
38,H,0.157919
39,H,0.101416
40,H,0.100997
41,H,0.098228
42,H,0.142067
43,H,0.178389
44,H,0.117601
45,H,0.213082
46,H,0.152381
47,H,0.232583
