index,element,charge
0,N,-0.437486
1,C,0.484969
2,C,-0.509793
3,C,0.519491
4,F,-0.152893
5,C,-0.567274
6,C,0.54399
7,O,-0.380783
8,C,0.751671
9,O,-0.455259
10,C,-0.394196
11,C,0.034304
12,C,-0.396295
13,C,0.50466
14,O,-0.387476
15,C,0.777995
16,O,-0.462317
17,C,-0.447596
18,C,0.412975
19,F,-0.158305
20,C,-0.333256
21,C,0.013831
22,C,-0.34395
23,C,0.419749
24,F,-0.16579
25,C,-0.455171
26,C,0.443088
27,F,-0.156608
28,C,-0.545013
29,C,0.512674
30,F,-0.154914
31,H,0.24518
32,H,0.126022
33,H,0.202504
34,H,0.173545
35,H,0.126192
36,H,0.175288
37,H,0.213749
38,H,0.222497
