index,element,charge
0,C,-0.057522
1,O,-0.281103
2,C,0.533256
3,C,-0.393313
4,C,0.073891
5,C,-0.546827
6,C,0.767859
7,O,-0.502713
8,O,-0.361802
9,C,0.512842
10,C,-0.398488
11,C,0.060834
12,C,-0.44627
13,C,0.75017
14,O,-0.479365
15,O,-0.336652
16,C,0.53457
17,C,-0.561521
18,C,0.504418
19,F,-0.153514
20,C,-0.493317
21,C,0.480169
22,N,-0.440495
23,C,0.512044
24,F,-0.157704
25,C,-0.568595
26,C,0.506208
27,F,-0.19068
28,C,-0.521283
29,C,0.57279
30,O,-0.193698
31,C,-0.176139
32,C,-0.579836
33,H,0.098548
34,H,0.071032
35,H,0.071604
36,H,0.15009
37,H,0.109317
38,H,0.210547
39,H,0.117606
40,H,0.246436
41,H,0.241798
42,H,0.210064
43,H,0.125128
44,H,0.100437
45,H,0.101556
46,H,0.177621
