index,element,charge
0,C,-0.071646
1,O,-0.272246
2,C,0.569137
3,C,-0.530791
4,C,0.485335
5,F,-0.165248
6,C,-0.616176
7,C,0.816039
8,O,-0.47699
9,O,-0.380598
10,C,0.429392
11,C,-0.320277
12,C,0.01066
13,C,-0.221824
14,C,0.691131
15,O,-0.473772
16,O,-0.375214
17,C,0.503119
18,C,-0.341494
19,C,-0.060901
20,C,-0.247264
21,N,0.82213
22,O,-0.435872
23,O,-0.41516
24,C,0.399178
25,F,-0.140513
26,C,-0.479195
27,C,-0.029476
28,C,-0.276545
29,C,0.564898
30,F,-0.165066
31,C,-0.625311
32,H,0.105359
33,H,0.08128
34,H,0.07868
35,H,0.190613
36,H,0.183625
37,H,0.114489
38,H,0.201602
39,H,0.158353
40,H,0.213235
41,H,0.114216
42,H,0.16375
43,H,0.225359
