molecule_id,family,cv_fold,true_lbl,class_lbl,score
PCH-4,dipole_prop,2,2,4,0.029352228395204103
PCH-4,dipole_prop,2,2,5,0.13763170224941398
PCH-5,dipole_prop,2,2,2,0.8360195424743612
PCH-5,dipole_prop,2,2,4,0.028356183926282436
PCH-5,dipole_prop,2,2,5,0.13562427359935644
PCH-7,dipole_prop,2,2,2,0.8366062295835144
PCH-7,dipole_prop,2,2,4,0.028163393311427826
PCH-7,dipole_prop,2,2,5,0.13523037710505786
EC5F,dipole_prop,2,5,2,0.24929357959046797
EC5F,dipole_prop,2,5,4,0.3825519845023533
EC5F,dipole_prop,2,5,5,0.3681544359071787
6-6,dipole_prop,2,2,2,0.264577326366284
6-6,dipole_prop,2,2,4,0.3715787480700297
6-6,dipole_prop,2,2,5,0.36384392556368633
NT3-3,dipole_prop,2,4,2,0.24578740896849174
NT3-3,dipole_prop,2,4,4,0.3850652284766699
NT3-3,dipole_prop,2,4,5,0.3691473625548384
NT3-4,dipole_prop,2,4,2,0.20145061162042696
NT3-4,dipole_prop,2,4,4,0.41660813800089214
NT3-4,dipole_prop,2,4,5,0.38194125037868093
NT3F-1,dipole_prop,2,4,2,0.14395840961870834
NT3F-1,dipole_prop,2,4,4,0.45616756060530556
NT3F-1,dipole_prop,2,4,5,0.399874029775986
EST-1,dipole_prop,2,4,2,0.6350497554628829
EST-1,dipole_prop,2,4,4,0.12219764488770511
EST-1,dipole_prop,2,4,5,0.242752599649412
SCUT1a,dipole_prop,2,5,2,0.20342805232445246
SCUT1a,dipole_prop,2,5,4,0.4152142583832097
SCUT1a,dipole_prop,2,5,5,0.3813576892923378
M-0-0,dipole_prop,2,4,2,0.20640204963046618
M-0-0,dipole_prop,2,4,4,0.41311504121653847
M-0-0,dipole_prop,2,4,5,0.3804829091529953
Li-4a,dipole_prop,2,2,2,0.11070275732910072
Li-4a,dipole_prop,2,2,4,0.47763785772931294
Li-4a,dipole_prop,2,2,5,0.4116593849415863
Li-5c,dipole_prop,2,4,2,0.1390860423253281
Li-5c,dipole_prop,2,4,4,0.4593997747290506
Li-5c,dipole_prop,2,4,5,0.4015141829456212
Li-7,dipole_prop,2,4,2,0.46842448275838683
Li-7,dipole_prop,2,4,4,0.22757175513281522
Li-7,dipole_prop,2,4,5,0.30400376210879787
Li-19,dipole_prop,2,2,2,0.1034980562196043
Li-19,dipole_prop,2,2,4,0.4820672223548215
Li-19,dipole_prop,2,2,5,0.4144347214255743
06119KW,dipole_prop,3,2,2,0.6719052787138357
06119KW,dipole_prop,3,2,4,0.11264935953262059
06119KW,dipole_prop,3,2,5,0.21544536175354373
MJ01071,dipole_prop,3,2,2,0.6378072556119166
MJ01071,dipole_prop,3,2,4,0.13153730949340708
MJ01071,dipole_prop,3,2,5,0.23065543489467621
MJ01073,dipole_prop,3,2,2,0.6231359512040168
MJ01073,dipole_prop,3,2,4,0.13991304993420414
MJ01073,dipole_prop,3,2,5,0.2369509988617791
08119KW,dipole_prop,3,2,2,0.6696020427325995
08119KW,dipole_prop,3,2,4,0.11389825364570622
08119KW,dipole_prop,3,2,5,0.21649970362169438
08123KW,dipole_prop,3,2,2,0.6560215537318699
08123KW,dipole_prop,3,2,4,0.12134316135357763
08123KW,dipole_prop,3,2,5,0.22263528491455264
7CB,dipole_prop,3,2,2,0.625964451770241
7CB,dipole_prop,3,2,4,0.13828727069237737
7CB,dipole_prop,3,2,5,0.23574827753738173
5OCB,dipole_prop,3,2,2,0.6810982089925061
5OCB,dipole_prop,3,2,4,0.10770558828975951
5OCB,dipole_prop,3,2,5,0.2111962027177344
Comp35,dipole_prop,3,2,2,0.6660868715919537
Comp35,dipole_prop,3,2,4,0.11581208381991302
Comp35,dipole_prop,3,2,5,0.21810104458813329
PYP605,dipole_prop,3,2,2,0.6905291171042144
PYP605,dipole_prop,3,2,4,0.10270364300449143
PYP605,dipole_prop,3,2,5,0.2067672398912941
Comp113,dipole_prop,3,2,2,0.5034272789398179
Comp113,dipole_prop,3,2,4,0.21281655871427135
Comp113,dipole_prop,3,2,5,0.2837561623459108
BCH52F,dipole_prop,3,2,2,0.8932288823452726
BCH52F,dipole_prop,3,2,4,0.017868463411628406
BCH52F,dipole_prop,3,2,5,0.088902654243099
I32,dipole_prop,3,2,2,0.552061607009526
I32,dipole_prop,3,2,4,0.1823208147237617
I32,dipole_prop,3,2,5,0.26561757826671245
1O(M-O4)PEPEBNO2,dipole_prop,3,4,2,0.24176127939912917
1O(M-O4)PEPEBNO2,dipole_prop,3,4,4,0.38804546246248345
1O(M-O4)PEPEBNO2,dipole_prop,3,4,5,0.3701932581383873
1O(M-O9)PEPEBNO2,dipole_prop,3,4,2,0.26256261638123884
1O(M-O9)PEPEBNO2,dipole_prop,3,4,4,0.37390284259306206
1O(M-O9)PEPEBNO2,dipole_prop,3,4,5,0.3635345410256991
5-6,dipole_prop,3,4,2,0.2870015016311834
5-6,dipole_prop,3,4,4,0.3572372387341496
5-6,dipole_prop,3,4,5,0.355761259634667
5-9,dipole_prop,3,4,2,0.22497925324348678
5-9,dipole_prop,3,4,4,0.3994034440307081
5-9,dipole_prop,3,4,5,0.375617302725805
6-7,dipole_prop,3,2,2,0.12916283528916273
6-7,dipole_prop,3,2,4,0.4620398318104775
6-7,dipole_prop,3,2,5,0.40879733290035974
NT3-5,dipole_prop,3,4,2,0.2269342734061699
NT3-5,dipole_prop,3,4,4,0.3980833908630808
NT3-5,dipole_prop,3,4,5,0.3749823357307493
3CN,dipole_prop,3,5,2,0.2771539639891019
3CN,dipole_prop,3,5,4,0.36395630425508624
3CN,dipole_prop,3,5,5,0.35888973175581174
2-2-Z1,dipole_prop,3,2,2,0.23709955339939467
2-2-Z1,dipole_prop,3,2,4,0.391206106596235
2-2-Z1,dipole_prop,3,2,5,0.37169434000437035
SCUT1b,dipole_prop,3,5,2,0.20129199623734306
SCUT1b,dipole_prop,3,5,4,0.41531303886188403
SCUT1b,dipole_prop,3,5,5,0.3833949649007729
M-2-0,dipole_prop,3,5,2,0.28357035974229033
M-2-0,dipole_prop,3,5,4,0.3595786806114246
M-2-0,dipole_prop,3,5,5,0.35685095964628516
Li-10a,dipole_prop,3,2,2,0.14070692037002275
Li-10a,dipole_prop,3,2,4,0.45482338109605314
Li-10a,dipole_prop,3,2,5,0.4044696985339241
Li-15,dipole_prop,3,4,2,0.14761372904412118
Li-15,dipole_prop,3,4,4,0.45044471943406
Li-15,dipole_prop,3,4,5,0.4019415515218189
MJ01056,dipole_prop,4,2,2,0.6982144853885232
MJ01056,dipole_prop,4,2,4,0.0999737641932996
MJ01056,dipole_prop,4,2,5,0.2018117504181774
RT08049,dipole_prop,4,2,2,0.6167137068232086
RT08049,dipole_prop,4,2,4,0.14473894610054208
RT08049,dipole_prop,4,2,5,0.23854734707624933
07080KW,dipole_prop,4,2,2,0.5837077272673534
07080KW,dipole_prop,4,2,4,0.16409179863218923
07080KW,dipole_prop,4,2,5,0.2522004741004573
Acid5-HOBA,dipole_prop,4,2,2,0.734152871912099
Acid5-HOBA,dipole_prop,4,2,4,0.08187145477952797
Acid5-HOBA,dipole_prop,4,2,5,0.18397567330837294
RO-CM-4513,dipole_prop,4,2,2,0.5831123634037176
RO-CM-4513,dipole_prop,4,2,4,0.16444650061956365
RO-CM-4513,dipole_prop,4,2,5,0.25244113597671874
RO-CM-1540,dipole_prop,4,2,2,0.8225628060778234
RO-CM-1540,dipole_prop,4,2,4,0.04279793570691435
RO-CM-1540,dipole_prop,4,2,5,0.1346392582152622
Comp97,dipole_prop,4,2,2,0.576021468402057
Comp97,dipole_prop,4,2,4,0.16868560552738404
Comp97,dipole_prop,4,2,5,0.255292926070559
EC1F,dipole_prop,4,5,2,0.23066396380788876
EC1F,dipole_prop,4,5,4,0.3948644358755656
EC1F,dipole_prop,4,5,5,0.37447160031654564
EC3F,dipole_prop,4,5,2,0.17731285838007327
EC3F,dipole_prop,4,5,4,0.4303162303622284
EC3F,dipole_prop,4,5,5,0.39237091125769835
1O(M-O5)PEPEBNO2,dipole_prop,4,4,2,0.27148453589606014
1O(M-O5)PEPEBNO2,dipole_prop,4,4,4,0.3673058471676811
1O(M-O5)PEPEBNO2,dipole_prop,4,4,5,0.36120961693625875
1O(M-O7)PEPEBNO2,dipole_prop,4,4,2,0.17812797509947176
1O(M-O7)PEPEBNO2,dipole_prop,4,4,4,0.42978286946347266
1O(M-O7)PEPEBNO2,dipole_prop,4,4,5,0.39208915543705547
NT3F-6,dipole_prop,4,2,2,0.12176090302000273
NT3F-6,dipole_prop,4,2,4,0.4655877970795484
NT3F-6,dipole_prop,4,2,5,0.41265129990044885
Sulfur-12,dipole_prop,4,2,2,0.4561865727732257
Sulfur-12,dipole_prop,4,2,4,0.24378244708518018
Sulfur-12,dipole_prop,4,2,5,0.3000309801415941
Sulfur-18,dipole_prop,4,2,2,0.2388899610901156
Sulfur-18,dipole_prop,4,2,4,0.3893290814520104
