molecule_id,family,y_true,y_score,cv_fold
6-8,dipole_prop,0,0.6875964611742628,5
3JK,dipole_prop,1,0.4207693589178063,5
NT3F-5,dipole_prop,0,0.782730918636645,5
EST-4,dipole_prop,1,0.14111125419688658,5
S4,dipole_prop,0,0.6592074021296142,5
2-2-Z0,dipole_prop,1,0.5929616844909732,5
SCUT22b,dipole_prop,1,0.5925705000336643,5
M-1-2,dipole_prop,1,0.7335785840133093,5
Li-4c,dipole_prop,1,0.8038620810234679,5
Li-12a,dipole_prop,1,0.4325320857611669,5
Li-14,dipole_prop,0,0.8590414100028886,5
Li-16,dipole_prop,1,0.6767255150369829,5
Li-20,dipole_prop,0,0.31999886835783065,5
PR07117,dipole_prop,0,0.12121581040618525,6
06129KW,dipole_prop,0,0.10773428785113787,6
06128KW,dipole_prop,0,0.1285248683754796,6
06120KW,dipole_prop,0,0.1385417013197865,6
MJ01064,dipole_prop,0,0.16489013598103763,6
01031MR,dipole_prop,0,0.20297722246737376,6
MBBA,dipole_prop,0,0.011298395689893787,6
Comp114,dipole_prop,0,0.019130655983606557,6
BCH5,dipole_prop,0,0.01900358028147208,6
HH33,dipole_prop,0,0.39104207136724006,6
EC8F,dipole_prop,0,0.8280995388003037,6
1O(M-O1)PEPEBNO2,dipole_prop,1,0.6978524006185117,6
1O(M-O3)PEPEBNO2,dipole_prop,1,0.7043976770147248,6
1O(M-O4)PEPEBNO2,dipole_prop,1,0.6341455311913583,6
1O(M-O9)PEPEBNO2,dipole_prop,1,0.6051426486500512,6
5-6,dipole_prop,1,0.5716990934697932,6
NT3-7,dipole_prop,1,0.7020102778251512,6
DIO-1,dipole_prop,1,0.2954800092948091,6
S7,dipole_prop,0,0.5975036040140882,6
1-2-Z1,dipole_prop,1,0.5622387381976867,6
Li-1a,dipole_prop,0,0.55645259192138,6
Li-3a,dipole_prop,0,0.7822136421573798,6
Li-4b,dipole_prop,1,0.7878007895782052,6
Li-13b,dipole_prop,0,0.8314491339242159,6
07088KW,dipole_prop,0,0.11714141400248579,7
08117KW,dipole_prop,0,0.1252964868116445,7
PCH-3,dipole_prop,0,0.04839814755755301,7
PCH-8,dipole_prop,0,0.04827477632669331,7
PYP606,dipole_prop,0,0.139288077719316,7
PYP607,dipole_prop,0,0.14060594563833748,7
RO-CM-1510,dipole_prop,0,0.05809709974960466,7
Comp92,dipole_prop,0,0.06194553313760173,7
HP5N,dipole_prop,0,0.2649180532970111,7
1O(M-O2)PEPEBNO2,dipole_prop,1,0.688630116468545,7
1O(M-O8)PEPEBNO2,dipole_prop,1,0.5470981446893499,7
NT3-5,dipole_prop,1,0.6567840210843036,7
NT3F-3,dipole_prop,0,0.7581443573180285,7
S2,dipole_prop,1,0.7391281674280418,7
2-2-Z2,dipole_prop,0,0.6562549115468651,7
M-0-0,dipole_prop,1,0.6818102711667771,7
M-0-1,dipole_prop,1,0.7182675965563172,7
Li-1c,dipole_prop,1,0.4834615783067368,7
Li-6b,dipole_prop,1,0.8513338410589588,7
Li-12b,dipole_prop,0,0.8112326932190064,7
Li-12c,dipole_prop,0,0.57697974508316,7
Li-24,dipole_prop,0,0.4698086147972687,7
Li-29,dipole_prop,0,0.8345812918780285,7
RT08062,dipole_prop,0,0.19453709832925042,8
06100KW,dipole_prop,0,0.17680889724137394,8
09078KW,dipole_prop,0,0.1641825426734403,8
07039KW,dipole_prop,0,0.3927768756954561,8
Acid2,dipole_prop,0,0.14619272872205735,8
Acid3,dipole_prop,0,0.2320951674130141,8
CCH-7,dipole_prop,0,0.15099651273926906,8
CCH-301,dipole_prop,0,0.23314568516533354,8
Comp119,dipole_prop,0,0.018772360936261466,8
DIO,dipole_prop,1,0.22594421867577427,8
5-4,dipole_prop,1,0.550132120043657,8
NT3F-2,dipole_prop,0,0.8035811093411028,8
NT3F-7,dipole_prop,0,0.700037091690746,8
Sulfur-2,dipole_prop,1,0.6056778486340894,8
Sulfur-13,dipole_prop,0,0.5173188218418492,8
Sulfur-19,dipole_prop,0,0.3830095022389027,8
EST-3,dipole_prop,1,0.5454447235959747,8
SCUT22d,dipole_prop,1,0.5368846468112873,8
