family,tn,fp,fn,tp,support_N,support_FN
dipole_prop,0.6688741721854304,0.33112582781456956,0.11764705882352941,0.8823529411764706,151,85
sigma_profile,0.6622516556291391,0.33774834437086093,0.21176470588235294,0.788235294117647,151,85
graphmol_conf0,0.6688741721854304,0.33112582781456956,0.09411764705882353,0.9058823529411765,151,85
graphmol_boltzmann,0.7218543046357616,0.2781456953642384,0.1411764705882353,0.8588235294117647,151,85
graphmol_dipole,0.7152317880794702,0.2847682119205298,0.1411764705882353,0.8588235294117647,151,85
