index,element,charge
0,H,0.13744
1,C,-0.062755
2,C,-0.282906
3,H,0.161922
4,C,0.471976
5,O,-0.420144
6,C,0.719234
7,O,-0.485713
8,C,-0.258469
9,C,-0.036998
10,H,0.120903
11,C,-0.250743
12,H,0.116221
13,C,0.391792
14,O,-0.314291
15,C,0.231206
16,H,0.017632
17,H,0.008881
18,C,-0.232954
19,H,0.06984
20,H,0.049052
21,C,0.168401
22,H,-0.021611
23,H,-0.027117
24,C,0.039894
25,H,-0.010498
26,H,-0.012782
27,C,-0.08487
28,H,-0.000811
29,H,0.006309
30,C,0.073325
31,H,-0.017742
32,H,-0.017682
33,C,0.184314
34,H,-0.03469
35,H,-0.035505
36,C,-0.271524
37,H,0.05546
38,H,0.054722
39,H,0.059627
40,C,-0.331186
41,H,0.159485
42,C,0.028017
43,H,0.104578
44,C,-0.314334
45,H,0.183492
46,C,-0.036846
47,H,0.131742
48,C,-0.112389
49,C,0.368353
50,N,-0.439256
