index,element,charge
0,C,-0.492856
1,C,0.19684
2,C,0.102668
3,O,-0.410145
4,C,0.455543
5,C,0.037692
6,C,-0.305962
7,C,0.420967
8,F,-0.163888
9,C,-0.470442
10,C,0.781368
11,O,-0.465378
12,O,-0.403715
13,C,0.495005
14,C,-0.347788
15,C,-0.00227
16,C,-0.143938
17,C,0.143146
18,C,-0.140489
19,C,-0.117882
20,C,-0.053598
21,N,0.784095
22,O,-0.425707
23,O,-0.425132
24,C,-0.120996
25,C,-0.136853
26,C,0.069864
27,N,0.729075
28,O,-0.370048
29,O,-0.412122
30,C,-0.383035
31,C,0.446412
32,F,-0.168301
33,C,-0.36208
34,O,-0.373629
35,C,0.050066
36,H,0.12069
37,H,0.124442
38,H,0.120063
39,H,0.025009
40,H,0.060839
41,H,0.013109
42,H,0.012133
43,H,0.176146
44,H,0.201889
45,H,0.112415
46,H,0.128063
47,H,0.138632
48,H,0.142305
49,H,0.131445
50,H,0.213499
51,H,0.168788
52,H,0.070922
53,H,0.023127
