index,element,charge
0,H,0.391509
1,O,-0.631887
2,C,0.254926
3,H,-0.034651
4,H,-0.03452
5,C,0.152568
6,H,-0.006809
7,H,-0.008535
8,C,-0.177749
9,H,0.022509
10,H,0.02328
11,C,0.063235
12,H,-0.018811
13,H,-0.017302
14,C,0.207137
15,H,-0.031358
16,H,-0.03274
17,C,-0.250242
18,H,0.065433
19,H,0.065335
20,C,0.174118
21,C,-0.214772
22,H,0.141863
23,C,-0.136834
24,H,0.116418
25,C,0.029042
26,C,0.138336
27,C,-0.159104
28,H,0.124371
29,C,-0.11744
30,H,0.136071
31,C,-0.035023
32,C,0.350022
33,N,-0.43665
34,C,-0.109696
35,H,0.135369
36,C,-0.17078
37,H,0.126874
38,C,-0.143973
39,H,0.119472
40,C,-0.206081
41,H,0.13707
