index,element,charge
0,H,0.150671
1,C,-0.418604
2,H,0.185171
3,C,0.088042
4,H,0.089531
5,C,-0.281164
6,C,0.294684
7,F,-0.126716
8,C,-0.006275
9,F,-0.099127
10,C,0.014345
11,O,-0.124126
12,C,0.100321
13,H,0.073743
14,H,0.063398
15,C,-0.324149
16,H,0.09049
17,H,0.086672
18,C,0.253566
19,H,-0.032285
20,H,-0.03789
21,C,-0.064961
22,H,0.014228
23,H,0.01
24,C,-0.152328
25,H,0.045892
26,H,0.053223
27,C,0.413683
28,H,-0.029578
29,H,-0.03296
30,O,-0.433833
31,C,0.456168
32,C,-0.282625
33,H,0.114789
34,C,-0.10421
35,H,0.128826
36,C,-0.054228
37,C,0.207658
38,C,-0.2433
39,H,0.137827
40,C,-0.045966
41,H,0.137216
42,C,-0.247373
43,C,0.413977
44,N,-0.441685
45,C,0.394049
46,F,-0.162231
47,C,-0.358415
48,H,0.172214
49,C,-0.062205
50,H,0.118014
51,C,-0.328818
52,H,0.164357
53,C,0.128752
54,F,-0.152645
55,C,0.15185
56,F,-0.10566
